JobType   ArrivalTime    ProcessingTime      
-------   -----------    --------------      
A         4              2                   
B         7              3                   
A         9              3                   
D         13             8                   
B         13             4                   
A         15             4                   
C         16             11                  
D         18             7                   
A         19             3                   
B         20             6                   
A         25             4                   
B         28             3                   
A         29             3                   
D         32             17                  
C         33             6                   
A         34             4                   
B         36             5                   
A         39             1                   
D         40             21                  
C         40             7                   
A         43             3                   
B         43             2                   
D         46             12                  
A         48             1                   
B         51             6                   
D         52             5                   
A         53             3                   
C         54             7                   
A         58             2                   
B         58             8                   
D         63             20                  
A         63             5                   
C         63             7                   
B         66             3                   
C         67             9                   
A         69             2                   
D         72             12                  
B         73             4                   
A         74             3                   
D         79             16                  
A         79             1                   
B         81             3                   
C         82             9                   
D         83             11                  
A         83             4                   
A         88             1                   
B         88             5                   
A         92             1                   
D         93             21                  
B         94             6                   
C         94             8                   
A         96             3                   
A         101            4                   
D         102            3                   
B         102            5                   
C         104            9                   
A         106            1                   
B         108            8                   
C         111            8                   
A         111            2                   
D         113            8                   
B         116            5                   
D         117            7                   
A         117            4                   
C         119            8                   
A         121            1                   
D         124            8                   
B         124            4                   
A         127            5                   
C         130            11                  
D         131            21                  
A         131            3                   
B         132            5                   
C         134            8                   
A         136            2                   
B         138            6                   
A         142            3                   
D         144            3                   
B         145            3                   
A         147            1                   
A         151            4                   
C         151            8                   
B         152            5                   
C         155            12                  
D         156            8                   
A         156            3                   
B         159            7                   
D         162            2                   
A         162            1                   
A         166            4                   
D         167            21                  
B         167            8                   
C         168            8                   
A         171            5                   
D         173            20                  
A         175            4                   
B         175            5                   
C         180            12                  
D         181            12                  
A         181            4                   
B         181            6                   
D         185            21                  
A         185            3                   
B         188            4                   
D         189            3                   
A         189            2                   
B         194            8                   
A         194            2                   
C         198            10                  
A         200            1                   
B         201            2                   
D         202            9                   
C         205            10                  
A         205            4                   
B         209            8                   
A         211            4                   
D         213            13                  
C         214            7                   
A         215            1                   
B         217            4                   
A         221            5                   
B         223            5                   
A         226            2                   
D         227            6                   
C         228            12                  
B         229            4                   
A         231            4                   
D         236            4                   
A         236            1                   
B         236            5                   
A         240            1                   
B         243            7                   
A         244            2                   
C         244            9                   
D         245            21                  
A         248            3                   
B         251            4                   
A         254            3                   
D         255            12                  
C         255            10                  
B         258            5                   
A         260            1                   
B         265            7                   
A         266            1                   
D         268            6                   
C         269            12                  
A         270            4                   
B         272            2                   
A         276            4                   
C         276            9                   
B         278            4                   
D         280            15                  
A         281            2                   
B         284            8                   
D         287            20                  
A         287            4                   
B         291            5                   
C         292            10                  
A         293            3                   
A         297            1                   
D         298            14                  
B         298            3                   
A         302            1                   
D         304            11                  
B         304            6                   
C         306            11                  
A         308            2                   
D         310            10                  
B         311            5                   
A         313            3                   
C         315            8                   
B         317            7                   
D         318            10                  
A         318            3                   
C         321            6                   
D         323            10                  
A         323            5                   
B         323            3                   
A         327            2                   
B         330            4                   
D         331            19                  
C         331            10                  
A         332            1                   
A         337            1                   
B         337            8                   
C         340            6                   
D         342            2                   
A         342            5                   
B         344            3                   
A         347            3                   
B         350            5                   
A         352            3                   
D         353            10                  
C         355            10                  
A         356            2                   
B         358            7                   
A         361            2                   
B         365            5                   
D         366            20                  
A         366            5                   
C         370            12                  
A         370            3                   
B         372            2                   
C         374            12                  
D         375            15                  
A         376            3                   
B         379            4                   
A         380            5                   
A         384            3                   
D         386            20                  
B         386            4                   
A         388            1                   
D         390            14                  
C         391            11                  
B         392            7                   
A         393            2                   
D         396            4                   
C         398            9                   
A         399            3                   
B         399            4                   
A         405            1                   
D         407            5                   
B         407            2                   
C         409            8                   
A         411            3                   
B         413            6                   
A         415            5                   
C         417            10                  
D         419            7                   
A         420            5                   
B         421            5                   
D         423            18                  
A         426            4                   
D         428            16                  
B         429            3                   
A         430            5                   
C         432            12                  
D         434            21                  
B         435            2                   
A         436            3                   
A         441            1                   
B         441            5                   
D         446            6                   
A         447            2                   
B         448            6                   
C         450            8                   
A         451            3                   
D         454            15                  
B         455            4                   
A         456            2                   
A         462            2                   
B         463            3                   
C         464            6                   
D         465            10                  
A         466            3                   
B         469            4                   
A         472            4                   
B         475            4                   
A         476            1                   
C         476            6                   
D         479            9                   
A         481            1                   
B         481            8                   
D         485            12                  
C         486            7                   
A         487            5                   
B         489            3                   
A         493            1                   
D         495            20                  
B         497            7                   
C         498            9                   
A         499            1                   
D         502            10                  
C         502            6                   
B         504            6                   
A         504            3                   
A         508            3                   
B         510            7                   
D         512            18                  
A         513            1                   
B         516            3                   
A         517            5                   
D         518            7                   
C         518            8                   
A         521            2                   
B         522            4                   
D         523            17                  
A         526            3                   
B         528            3                   
D         531            4                   
A         532            2                   
B         535            4                   
C         536            10                  
A         538            4                   
D         540            2                   
A         543            4                   
B         543            3                   
C         548            11                  
A         548            3                   
D         549            4                   
B         550            5                   
A         552            5                   
B         556            4                   
A         558            2                   
C         558            9                   
D         559            11                  
A         562            4                   
B         562            8                   
